Force (N),Position (mm),Strain (%),Stress (MPa)
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00300,0.00300,0.00
0.00,0.00300,0.00300,0.00
0.00,0.00500,0.00500,0.00
0.00,0.00600,0.00600,0.00
0.00,0.00800,0.00800,0.00
0.00,0.00900,0.00900,0.00
0.833,0.0110,0.0110,0.00219
0.833,0.0120,0.0120,0.00219
0.833,0.0140,0.0140,0.00219
1.67,0.0140,0.0140,0.00439
1.67,0.0160,0.0160,0.00439
1.67,0.0170,0.0170,0.00439
2.50,0.0190,0.0190,0.00658
2.50,0.0200,0.0200,0.00658
2.50,0.0220,0.0220,0.00658
3.33,0.0220,0.0220,0.00877
3.33,0.0240,0.0240,0.00877
3.33,0.0260,0.0260,0.00877
4.17,0.0280,0.0280,0.0110
4.17,0.0290,0.0290,0.0110
4.17,0.0310,0.0310,0.0110
5.00,0.0320,0.0320,0.0132
5.00,0.0340,0.0340,0.0132
5.00,0.0360,0.0360,0.0132
5.83,0.0370,0.0370,0.0153
5.83,0.0390,0.0390,0.0153
6.67,0.0400,0.0400,0.0175
6.67,0.0420,0.0420,0.0175
7.50,0.0440,0.0440,0.0197
7.50,0.0450,0.0450,0.0197
7.50,0.0470,0.0470,0.0197
8.33,0.0480,0.0480,0.0219
8.33,0.0500,0.0500,0.0219
9.17,0.0520,0.0520,0.0241
10.0,0.0540,0.0540,0.0263
10.0,0.0550,0.0550,0.0263
10.0,0.0570,0.0570,0.0263
10.8,0.0590,0.0590,0.0285
11.7,0.0600,0.0600,0.0307
11.7,0.0630,0.0630,0.0307
12.5,0.0640,0.0640,0.0329
12.5,0.0660,0.0660,0.0329
12.5,0.0660,0.0660,0.0329
13.3,0.0680,0.0680,0.0351
14.2,0.0700,0.0700,0.0373
14.2,0.0720,0.0720,0.0373
15.0,0.0730,0.0730,0.0395
15.0,0.0740,0.0740,0.0395
15.8,0.0760,0.0760,0.0417
15.8,0.0770,0.0770,0.0417
16.7,0.0780,0.0780,0.0439
16.7,0.0790,0.0790,0.0439
16.7,0.0810,0.0810,0.0439
17.5,0.0820,0.0820,0.0460
17.5,0.0840,0.0840,0.0460
17.5,0.0850,0.0850,0.0460
18.3,0.0860,0.0860,0.0482
18.3,0.0870,0.0870,0.0482
19.2,0.0890,0.0890,0.0504
19.2,0.0900,0.0900,0.0504
20.0,0.0910,0.0910,0.0526
20.0,0.0930,0.0930,0.0526
20.8,0.0950,0.0950,0.0548
21.7,0.0970,0.0970,0.0570
22.5,0.0980,0.0980,0.0592
22.5,0.100,0.100,0.0592
22.5,0.103,0.103,0.0592
23.3,0.104,0.104,0.0614
23.3,0.105,0.105,0.0614
24.2,0.107,0.107,0.0636
24.2,0.108,0.108,0.0636
25.0,0.110,0.110,0.0658
25.0,0.110,0.110,0.0658
25.8,0.112,0.112,0.0680
26.7,0.114,0.114,0.0702
26.7,0.116,0.116,0.0702
26.7,0.117,0.117,0.0702
27.5,0.118,0.118,0.0724
28.3,0.119,0.119,0.0745
28.3,0.121,0.121,0.0745
29.2,0.122,0.122,0.0767
29.2,0.124,0.124,0.0767
30.0,0.124,0.124,0.0789
30.8,0.126,0.126,0.0811
30.8,0.127,0.127,0.0811
31.7,0.129,0.129,0.0833
31.7,0.130,0.130,0.0833
32.5,0.131,0.131,0.0855
32.5,0.132,0.132,0.0855
33.3,0.134,0.134,0.0877
33.3,0.135,0.135,0.0877
34.2,0.137,0.137,0.0899
35.0,0.138,0.138,0.0921
35.0,0.139,0.139,0.0921
35.0,0.141,0.141,0.0921
35.8,0.141,0.141,0.0943
36.7,0.143,0.143,0.0965
36.7,0.144,0.144,0.0965
37.5,0.146,0.146,0.0987
37.5,0.147,0.147,0.0987
38.3,0.148,0.148,0.101
38.3,0.149,0.149,0.101
39.2,0.151,0.151,0.103
40.0,0.152,0.152,0.105
40.0,0.154,0.154,0.105
40.8,0.155,0.155,0.107
41.7,0.157,0.157,0.110
42.5,0.159,0.159,0.112
43.3,0.160,0.160,0.114
44.2,0.161,0.161,0.116
44.2,0.162,0.162,0.116
45.0,0.164,0.164,0.118
45.8,0.165,0.165,0.121
46.7,0.167,0.167,0.123
46.7,0.167,0.167,0.123
47.5,0.169,0.169,0.125
47.5,0.170,0.170,0.125
48.3,0.172,0.172,0.127
49.2,0.173,0.173,0.129
50.0,0.174,0.174,0.132
50.0,0.175,0.175,0.132
50.8,0.177,0.177,0.134
50.8,0.178,0.178,0.134
51.7,0.180,0.180,0.136
52.5,0.181,0.181,0.138
53.3,0.182,0.182,0.140
53.3,0.183,0.183,0.140
54.2,0.185,0.185,0.143
55.0,0.186,0.186,0.145
55.8,0.187,0.187,0.147
55.8,0.188,0.188,0.147
56.7,0.190,0.190,0.149
57.5,0.191,0.191,0.151
58.3,0.193,0.193,0.153
58.3,0.193,0.193,0.153
59.2,0.195,0.195,0.156
59.2,0.196,0.196,0.156
60.0,0.198,0.198,0.158
61.7,0.200,0.200,0.162
62.5,0.201,0.201,0.164
62.5,0.202,0.202,0.164
63.3,0.204,0.204,0.167
64.2,0.205,0.205,0.169
65.0,0.207,0.207,0.171
65.8,0.208,0.208,0.173
66.7,0.210,0.210,0.175
66.7,0.210,0.210,0.175
67.5,0.212,0.212,0.178
68.3,0.213,0.213,0.180
69.2,0.215,0.215,0.182
69.2,0.215,0.215,0.182
70.0,0.217,0.217,0.184
70.8,0.218,0.218,0.186
71.7,0.220,0.220,0.189
71.7,0.221,0.221,0.189
72.5,0.223,0.223,0.191
73.3,0.223,0.223,0.193
74.2,0.225,0.225,0.195
74.2,0.226,0.226,0.195
75.0,0.228,0.228,0.197
75.8,0.228,0.228,0.200
76.7,0.230,0.230,0.202
77.5,0.231,0.231,0.204
78.3,0.233,0.233,0.206
78.3,0.234,0.234,0.206
79.2,0.235,0.235,0.208
80.0,0.236,0.236,0.210
80.8,0.238,0.238,0.213
80.8,0.239,0.239,0.213
81.7,0.241,0.241,0.215
83.3,0.243,0.243,0.219
84.2,0.244,0.244,0.221
84.2,0.245,0.245,0.221
85.0,0.247,0.247,0.224
85.8,0.248,0.248,0.226
85.8,0.249,0.249,0.226
86.7,0.251,0.251,0.228
87.5,0.252,0.252,0.230
88.3,0.253,0.253,0.232
89.2,0.254,0.254,0.235
90.0,0.256,0.256,0.237
90.0,0.257,0.257,0.237
90.8,0.258,0.258,0.239
91.7,0.260,0.260,0.241
91.7,0.261,0.261,0.241
92.5,0.262,0.262,0.243
93.3,0.264,0.264,0.246
94.2,0.265,0.265,0.248
95.0,0.267,0.267,0.250
95.0,0.268,0.268,0.250
95.8,0.269,0.269,0.252
96.7,0.271,0.271,0.254
96.7,0.271,0.271,0.254
98.3,0.273,0.273,0.259
98.3,0.274,0.274,0.259
99.2,0.276,0.276,0.261
99.2,0.277,0.277,0.261
100,0.278,0.278,0.263
101,0.279,0.279,0.265
101,0.281,0.281,0.265
102,0.282,0.282,0.267
103,0.284,0.284,0.270
103,0.285,0.285,0.270
103,0.287,0.287,0.272
104,0.288,0.288,0.274
105,0.290,0.290,0.276
105,0.291,0.291,0.276
106,0.293,0.293,0.278
107,0.293,0.293,0.281
108,0.295,0.295,0.283
108,0.296,0.296,0.283
108,0.297,0.297,0.285
109,0.299,0.299,0.287
110,0.300,0.300,0.289
110,0.301,0.301,0.289
111,0.303,0.303,0.292
112,0.304,0.304,0.294
113,0.306,0.306,0.296
113,0.306,0.306,0.298
114,0.308,0.308,0.300
115,0.309,0.309,0.303
116,0.311,0.311,0.305
117,0.312,0.312,0.307
118,0.314,0.314,0.309
118,0.314,0.314,0.309
118,0.316,0.316,0.311
119,0.317,0.317,0.314
120,0.319,0.319,0.316
121,0.320,0.320,0.318
121,0.320,0.320,0.318
123,0.322,0.322,0.322
123,0.323,0.323,0.322
123,0.325,0.325,0.325
124,0.327,0.327,0.327
126,0.329,0.329,0.331
127,0.330,0.330,0.333
127,0.331,0.331,0.333
128,0.333,0.333,0.338
128,0.334,0.334,0.338
129,0.336,0.336,0.340
130,0.336,0.336,0.342
131,0.338,0.338,0.344
132,0.339,0.339,0.346
132,0.340,0.340,0.346
133,0.342,0.342,0.351
133,0.343,0.343,0.351
134,0.345,0.345,0.353
135,0.346,0.346,0.355
135,0.347,0.347,0.355
137,0.348,0.348,0.360
137,0.349,0.349,0.360
138,0.351,0.351,0.362
138,0.352,0.352,0.364
139,0.353,0.353,0.366
139,0.354,0.354,0.366
141,0.356,0.356,0.371
141,0.357,0.357,0.371
143,0.359,0.359,0.375
143,0.360,0.360,0.375
144,0.362,0.362,0.379
145,0.362,0.362,0.382
146,0.364,0.364,0.384
146,0.365,0.365,0.384
148,0.367,0.367,0.388
148,0.368,0.368,0.388
149,0.370,0.370,0.392
150,0.372,0.372,0.395
151,0.373,0.373,0.397
152,0.374,0.374,0.399
153,0.376,0.376,0.401
153,0.377,0.377,0.403
154,0.379,0.379,0.406
154,0.380,0.380,0.406
156,0.381,0.381,0.410
156,0.382,0.382,0.410
158,0.384,0.384,0.414
158,0.385,0.385,0.414
158,0.386,0.386,0.417
159,0.387,0.387,0.419
160,0.389,0.389,0.421
161,0.390,0.390,0.423
162,0.392,0.392,0.425
162,0.392,0.392,0.425
163,0.394,0.394,0.430
163,0.395,0.395,0.430
164,0.397,0.397,0.432
165,0.397,0.397,0.434
166,0.399,0.399,0.436
167,0.400,0.400,0.439
168,0.402,0.402,0.441
168,0.403,0.403,0.443
168,0.404,0.404,0.443
169,0.405,0.405,0.445
170,0.406,0.406,0.447
171,0.407,0.407,0.449
172,0.409,0.409,0.452
173,0.410,0.410,0.454
173,0.412,0.412,0.456
174,0.414,0.414,0.458
176,0.416,0.416,0.463
176,0.417,0.417,0.463
178,0.418,0.418,0.467
178,0.419,0.419,0.469
179,0.421,0.421,0.471
180,0.422,0.422,0.474
181,0.424,0.424,0.476
181,0.425,0.425,0.476
182,0.426,0.426,0.478
183,0.428,0.428,0.482
183,0.429,0.429,0.482
185,0.430,0.430,0.487
186,0.432,0.432,0.489
186,0.432,0.432,0.489
188,0.434,0.434,0.493
188,0.435,0.435,0.493
188,0.436,0.436,0.496
190,0.438,0.438,0.500
190,0.439,0.439,0.500
192,0.441,0.441,0.504
193,0.442,0.442,0.506
193,0.444,0.444,0.509
194,0.445,0.445,0.511
195,0.446,0.446,0.513
196,0.447,0.447,0.515
197,0.448,0.448,0.517
198,0.450,0.450,0.520
198,0.451,0.451,0.522
199,0.453,0.453,0.524
200,0.454,0.454,0.526
201,0.455,0.455,0.528
203,0.457,0.457,0.533
203,0.459,0.459,0.535
204,0.460,0.460,0.537
205,0.462,0.462,0.539
206,0.463,0.463,0.542
207,0.464,0.464,0.544
208,0.465,0.465,0.546
208,0.466,0.466,0.548
209,0.468,0.468,0.550
210,0.469,0.469,0.553
211,0.471,0.471,0.555
212,0.472,0.472,0.557
213,0.474,0.474,0.561
213,0.475,0.475,0.561
215,0.476,0.476,0.566
215,0.477,0.477,0.566
217,0.479,0.479,0.570
218,0.480,0.480,0.572
218,0.481,0.481,0.574
219,0.482,0.482,0.577
220,0.484,0.484,0.579
221,0.485,0.485,0.581
222,0.487,0.487,0.583
223,0.487,0.487,0.585
223,0.488,0.488,0.585
224,0.490,0.490,0.590
224,0.491,0.491,0.590
226,0.493,0.493,0.594
227,0.494,0.494,0.596
228,0.495,0.495,0.599
228,0.496,0.496,0.601
229,0.498,0.498,0.603
231,0.500,0.500,0.607
232,0.502,0.502,0.610
233,0.503,0.503,0.612
234,0.505,0.505,0.616
234,0.505,0.505,0.616
236,0.507,0.507,0.621
237,0.508,0.508,0.623
238,0.510,0.510,0.625
238,0.511,0.511,0.627
239,0.512,0.512,0.629
240,0.513,0.513,0.631
242,0.515,0.515,0.636
242,0.516,0.516,0.636
243,0.517,0.517,0.640
244,0.518,0.518,0.642
245,0.520,0.520,0.645
246,0.521,0.521,0.647
247,0.523,0.523,0.649
248,0.523,0.523,0.651
249,0.525,0.525,0.656
249,0.526,0.526,0.656
251,0.528,0.528,0.660
252,0.529,0.529,0.662
252,0.530,0.530,0.662
253,0.532,0.532,0.667
254,0.533,0.533,0.669
255,0.534,0.534,0.671
256,0.535,0.535,0.673
257,0.536,0.536,0.675
258,0.538,0.538,0.680
258,0.539,0.539,0.680
260,0.541,0.541,0.684
262,0.543,0.543,0.688
263,0.545,0.545,0.691
263,0.546,0.546,0.693
265,0.547,0.547,0.697
266,0.548,0.548,0.699
268,0.550,0.550,0.704
268,0.551,0.551,0.704
268,0.552,0.552,0.706
270,0.554,0.554,0.710
271,0.555,0.555,0.713
273,0.557,0.557,0.717
273,0.558,0.558,0.717
273,0.559,0.559,0.719
275,0.560,0.560,0.724
276,0.561,0.561,0.726
278,0.563,0.563,0.730
278,0.564,0.564,0.730
279,0.566,0.566,0.735
280,0.567,0.567,0.737
282,0.568,0.568,0.741
282,0.569,0.569,0.741
283,0.571,0.571,0.745
284,0.572,0.572,0.748
286,0.574,0.574,0.752
287,0.574,0.574,0.754
288,0.576,0.576,0.756
288,0.577,0.577,0.759
290,0.579,0.579,0.763
291,0.580,0.580,0.765
292,0.581,0.581,0.767
293,0.582,0.582,0.770
294,0.584,0.584,0.774
296,0.586,0.586,0.778
297,0.588,0.588,0.781
298,0.589,0.589,0.783
299,0.590,0.590,0.787
300,0.591,0.591,0.789
302,0.593,0.593,0.794
303,0.594,0.594,0.796
304,0.596,0.596,0.800
305,0.597,0.597,0.802
307,0.598,0.598,0.807
308,0.599,0.599,0.809
308,0.601,0.601,0.811
309,0.602,0.602,0.813
311,0.603,0.603,0.818
312,0.604,0.604,0.820
313,0.606,0.606,0.824
314,0.607,0.607,0.827
316,0.609,0.609,0.831
317,0.610,0.610,0.833
318,0.611,0.611,0.835
318,0.612,0.612,0.838
320,0.614,0.614,0.842
321,0.615,0.615,0.844
323,0.616,0.616,0.849
323,0.617,0.617,0.851
324,0.618,0.618,0.853
326,0.620,0.620,0.857
327,0.621,0.621,0.860
328,0.623,0.623,0.862
328,0.624,0.624,0.864
329,0.625,0.625,0.866
331,0.627,0.627,0.870
333,0.629,0.629,0.877
334,0.630,0.630,0.879
336,0.632,0.632,0.884
337,0.633,0.633,0.886
338,0.634,0.634,0.888
339,0.636,0.636,0.892
340,0.636,0.636,0.895
342,0.638,0.638,0.899
343,0.639,0.639,0.901
343,0.640,0.640,0.903
345,0.642,0.642,0.908
346,0.643,0.643,0.910
348,0.645,0.645,0.914
348,0.646,0.646,0.917
349,0.647,0.647,0.919
351,0.649,0.649,0.923
353,0.650,0.650,0.927
354,0.651,0.651,0.932
355,0.652,0.652,0.934
357,0.654,0.654,0.938
358,0.655,0.655,0.941
359,0.657,0.657,0.945
360,0.657,0.657,0.947
363,0.659,0.659,0.954
363,0.660,0.660,0.956
365,0.662,0.662,0.960
366,0.663,0.663,0.963
368,0.664,0.664,0.967
368,0.665,0.665,0.969
370,0.667,0.667,0.974
371,0.668,0.668,0.976
373,0.670,0.670,0.980
374,0.672,0.672,0.984
376,0.674,0.674,0.989
377,0.674,0.674,0.991
378,0.676,0.676,0.995
379,0.677,0.677,0.998
381,0.679,0.679,1.00
382,0.680,0.680,1.00
383,0.681,0.681,1.01
384,0.682,0.682,1.01
387,0.684,0.684,1.02
388,0.685,0.685,1.02
388,0.686,0.686,1.02
390,0.688,0.688,1.03
391,0.688,0.688,1.03
393,0.690,0.690,1.03
394,0.691,0.691,1.04
396,0.693,0.693,1.04
397,0.694,0.694,1.04
398,0.696,0.696,1.05
399,0.697,0.697,1.05
400,0.698,0.698,1.05
403,0.700,0.700,1.06
403,0.700,0.700,1.06
406,0.702,0.702,1.07
407,0.703,0.703,1.07
408,0.704,0.704,1.07
410,0.706,0.706,1.08
411,0.707,0.707,1.08
413,0.709,0.709,1.09
414,0.710,0.710,1.09
