Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00497
24.3	0.00300	0.709	0.00487	0.00939
83.9	0.00800	2.44	0.0130	0.0138
138	0.0120	4.02	0.0195	0.0182
188	0.0170	5.47	0.0276	0.0227
231	0.0210	6.74	0.0341	0.0271
271	0.0259	7.88	0.0420	0.0315
306	0.0300	8.90	0.0487	0.0359
339	0.0349	9.87	0.0567	0.0403
368	0.0390	10.7	0.0633	0.0448
395	0.0439	11.5	0.0713	0.0492
418	0.0480	12.2	0.0779	0.0536
442	0.0520	12.9	0.0844	0.0580
463	0.0570	13.5	0.0925	0.0624
481	0.0610	14.0	0.0990	0.0669
497	0.0650	14.5	0.106	0.0713
511	0.0700	14.9	0.114	0.0757
522	0.0749	15.2	0.122	0.0801
529	0.0790	15.4	0.128	0.0845
538	0.0830	15.7	0.135	0.0890
547	0.0880	15.9	0.143	0.0934
554	0.0920	16.1	0.149	0.0978
564	0.0968	16.4	0.157	0.102
575	0.101	16.7	0.164	0.107
584	0.105	17.0	0.170	0.111
594	0.110	17.3	0.179	0.115
606	0.114	17.6	0.185	0.120
615	0.119	17.9	0.193	0.124
625	0.123	18.2	0.200	0.129
636	0.128	18.5	0.208	0.133
645	0.132	18.8	0.214	0.138
656	0.136	19.1	0.221	0.142
667	0.141	19.4	0.229	0.146
677	0.145	19.7	0.235	0.151
687	0.150	20.0	0.243	0.155
698	0.154	20.3	0.250	0.160
710	0.158	20.7	0.256	0.164
719	0.163	20.9	0.265	0.169
728	0.167	21.2	0.271	0.173
739	0.172	21.5	0.279	0.177
747	0.176	21.8	0.286	0.182
757	0.181	22.1	0.294	0.186
767	0.185	22.3	0.300	0.191
777	0.189	22.6	0.307	0.195
787	0.194	22.9	0.315	0.199
797	0.198	23.2	0.321	0.204
807	0.203	23.5	0.329	0.208
817	0.207	23.8	0.336	0.213
827	0.211	24.1	0.343	0.217
838	0.216	24.4	0.351	0.222
847	0.220	24.7	0.357	0.226
857	0.225	24.9	0.365	0.230
