Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
0.00	0.00	0.00	0.00	0.00373
0.00	0.0251	0.00	0.0751	0.00989
0.00	0.0564	0.00	0.168	0.0160
0.00	0.0870	0.00	0.260	0.0222
0.833	0.118	0.0548	0.354	0.0284
0.00	0.149	0.00	0.445	0.0345
0.833	0.180	0.0548	0.539	0.0407
0.833	0.210	0.0548	0.629	0.0468
0.833	0.241	0.0548	0.721	0.0530
0.833	0.272	0.0548	0.813	0.0592
0.833	0.303	0.0548	0.905	0.0653
0.833	0.334	0.0548	0.999	0.0715
0.833	0.364	0.0548	1.09	0.0776
0.833	0.395	0.0548	1.18	0.0838
0.833	0.426	0.0548	1.27	0.0900
0.833	0.457	0.0548	1.37	0.0961
0.833	0.488	0.0548	1.46	0.102
0.833	0.518	0.0548	1.55	0.108
0.833	0.549	0.0548	1.64	0.115
0.833	0.580	0.0548	1.73	0.121
1.67	0.611	0.110	1.83	0.127
1.67	0.642	0.110	1.92	0.133
0.833	0.672	0.0548	2.01	0.139
0.833	0.703	0.0548	2.10	0.145
0.833	0.734	0.0548	2.19	0.152
1.67	0.765	0.110	2.29	0.158
1.67	0.796	0.110	2.38	0.164
1.67	0.827	0.110	2.47	0.170
1.67	0.857	0.110	2.56	0.176
1.67	0.888	0.110	2.65	0.182
1.67	0.919	0.110	2.75	0.188
1.67	0.950	0.110	2.84	0.195
1.67	0.981	0.110	2.93	0.201
1.67	1.01	0.110	3.02	0.207
1.67	1.04	0.110	3.11	0.213
1.67	1.07	0.110	3.21	0.219
1.67	1.10	0.110	3.30	0.225
1.67	1.13	0.110	3.39	0.232
1.67	1.17	0.110	3.48	0.238
1.67	1.20	0.110	3.57	0.244
1.67	1.23	0.110	3.67	0.250
1.67	1.26	0.110	3.76	0.256
1.67	1.29	0.110	3.85	0.262
1.67	1.32	0.110	3.94	0.269
1.67	1.35	0.110	4.03	0.275
1.67	1.38	0.110	4.13	0.281
1.67	1.41	0.110	4.22	0.287
1.67	1.44	0.110	4.31	0.293
2.50	1.47	0.164	4.41	0.299
1.87	1.50	0.123	4.49	0.306
2.50	1.53	0.164	4.59	0.312
2.50	1.57	0.164	4.68	0.318
